"GRANTEE"	"PRIVILEGE"	"ADMIN_OPTION"	"COMMON"	"INHERITED"
"AQ_ADMINISTRATOR_ROLE"	"CREATE EVALUATION CONTEXT"	"YES"	"YES"	"NO"
"SYS"	"GRANT ANY OBJECT PRIVILEGE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"GRANT ANY OBJECT PRIVILEGE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"GRANT ANY OBJECT PRIVILEGE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"GRANT ANY OBJECT PRIVILEGE"	"NO"	"YES"	"NO"
"DBA"	"DEBUG CONNECT SESSION"	"NO"	"YES"	"NO"
"DBSNMP"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"RESUMABLE"	"NO"	"YES"	"NO"
"DBA"	"MERGE ANY VIEW"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ADMINISTER RESOURCE MANAGER"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY OUTLINE"	"NO"	"YES"	"NO"
"DBA"	"MANAGE ANY QUEUE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"GLOBAL QUERY REWRITE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"GLOBAL QUERY REWRITE"	"NO"	"YES"	"NO"
"DBA"	"QUERY REWRITE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY OPERATOR"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY OPERATOR"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY LIBRARY"	"NO"	"YES"	"NO"
"XDB"	"CREATE LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"CREATE TYPE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY DIRECTORY"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY DIRECTORY"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"ANALYZE ANY"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"DROP PROFILE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"ALTER PROFILE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE PROFILE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY TRIGGER"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY TRIGGER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY TRIGGER"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"EXECUTE ANY PROCEDURE"	"NO"	"YES"	"NO"
"WMSYS"	"DROP ANY PROCEDURE"	"NO"	"YES"	"NO"
"SYS"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"FORCE ANY TRANSACTION"	"NO"	"YES"	"NO"
"SYS"	"FORCE TRANSACTION"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"GRANT ANY ROLE"	"NO"	"YES"	"NO"
"DBA"	"CREATE DATABASE LINK"	"NO"	"YES"	"NO"
"WMSYS"	"DROP ANY SEQUENCE"	"NO"	"YES"	"NO"
"SYS"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY VIEW"	"NO"	"YES"	"NO"
"MDSYS"	"CREATE PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER_VPD"	"CREATE ANY SYNONYM"	"NO"	"YES"	"NO"
"SYS"	"CREATE SYNONYM"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY INDEX"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY INDEX"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY CLUSTER"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE CLUSTER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DELETE ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"UPDATE ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"INSERT ANY TABLE"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"GGSYS"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"COMMENT ANY TABLE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DROP ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"BACKUP ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY TABLE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"CREATE TABLE"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"CREATE TABLE"	"NO"	"YES"	"NO"
"SYS"	"DROP ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"DBA"	"DROP ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"ALTER USER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE USER"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"CREATE USER"	"NO"	"YES"	"NO"
"SYSBACKUP"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"DVSYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"SYS"	"DROP TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"DROP TABLESPACE"	"NO"	"YES"	"NO"
"SYS"	"MANAGE TABLESPACE"	"NO"	"YES"	"NO"
"SYS"	"ALTER SESSION"	"NO"	"YES"	"NO"
"AVTUNE_PKG_ROLE"	"ALTER SESSION"	"NO"	"YES"	"NO"
"DATAPATCH_ROLE"	"ALTER SESSION"	"NO"	"YES"	"NO"
"CONNECT"	"CREATE SESSION"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"CREATE SESSION"	"NO"	"YES"	"NO"
"GSMUSER_ROLE"	"CREATE SESSION"	"NO"	"YES"	"NO"
"GSMCATUSER"	"CREATE SESSION"	"NO"	"YES"	"NO"
"APPQOSSYS"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY HIERARCHY"	"NO"	"YES"	"NO"
"SYS"	"CREATE ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"DBSNMP"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"WMSYS"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"DBA"	"EM EXPRESS CONNECT"	"NO"	"YES"	"NO"
"SYS"	"USE ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"DBA"	"ADMINISTER SQL MANAGEMENT OBJECT"	"NO"	"YES"	"NO"
"SYS"	"UPDATE ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"CREATE MEASURE FOLDER"	"NO"	"YES"	"NO"
"OLAP_DBA"	"SELECT ANY CUBE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY CUBE"	"NO"	"YES"	"NO"
"DBA"	"INSERT ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"CREATE CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY ASSEMBLY"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY EDITION"	"NO"	"YES"	"NO"
"DBA"	"CREATE EXTERNAL JOB"	"NO"	"YES"	"NO"
"DBA"	"READ ANY FILE GROUP"	"NO"	"YES"	"NO"
"DBA"	"MANAGE FILE GROUP"	"NO"	"YES"	"NO"
"SYS"	"MANAGE SCHEDULER"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"MANAGE SCHEDULER"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY PROGRAM"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE JOB"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY RULE"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY RULE SET"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY RULE SET"	"YES"	"YES"	"NO"
"DBA"	"FLASHBACK ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"DEBUG ANY PROCEDURE"	"NO"	"YES"	"NO"
"SYSDG"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"DBA"	"RESUMABLE"	"NO"	"YES"	"NO"
"SYS"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"ADMINISTER RESOURCE MANAGER"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"ADMINISTER RESOURCE MANAGER"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY OUTLINE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER_VPD"	"CREATE ANY CONTEXT"	"NO"	"YES"	"NO"
"SYSTEM"	"DEQUEUE ANY QUEUE"	"YES"	"YES"	"NO"
"AQ_ADMINISTRATOR_ROLE"	"ENQUEUE ANY QUEUE"	"YES"	"YES"	"NO"
"SYS"	"UNDER ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"UNDER ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY INDEXTYPE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY OPERATOR"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY OPERATOR"	"NO"	"YES"	"NO"
"DBA"	"CREATE OPERATOR"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"CREATE LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"UNDER ANY TYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"EXECUTE ANY TYPE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY TYPE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY TYPE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"DBA"	"CREATE MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"AVTUNE_PKG_ROLE"	"CREATE MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"DBA"	"ANALYZE ANY"	"NO"	"YES"	"NO"
"DBA"	"ALTER RESOURCE COST"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"ALTER PROFILE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"CREATE PROFILE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"CREATE PROFILE"	"NO"	"YES"	"NO"
"WMSYS"	"DROP ANY TRIGGER"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY TRIGGER"	"NO"	"YES"	"NO"
"SYS"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY PROCEDURE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER ANY PROCEDURE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY PROCEDURE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY PROCEDURE"	"NO"	"YES"	"NO"
"AUDIT_ADMIN"	"AUDIT ANY"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY ROLE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ROLE"	"NO"	"YES"	"NO"
"SYS"	"CREATE PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"GGSYS"	"CREATE DATABASE LINK"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY SEQUENCE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY SEQUENCE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY SEQUENCE"	"NO"	"YES"	"NO"
"XDB"	"CREATE VIEW"	"NO"	"YES"	"NO"
"MDSYS"	"CREATE VIEW"	"NO"	"YES"	"NO"
"DBA"	"DROP PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"XDB"	"DROP PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY SYNONYM"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY SYNONYM"	"NO"	"YES"	"NO"
"DBA"	"CREATE SYNONYM"	"NO"	"YES"	"NO"
"WMSYS"	"DROP ANY INDEX"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY INDEX"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY CLUSTER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY CLUSTER"	"NO"	"YES"	"NO"
"DBA"	"REDEFINE ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY TABLE"	"NO"	"YES"	"NO"
"DBSNMP"	"CREATE TABLE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"DBA"	"CREATE ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP USER"	"NO"	"YES"	"NO"
"WMSYS"	"DROP USER"	"NO"	"YES"	"NO"
"SYS"	"CREATE USER"	"NO"	"YES"	"NO"
"DBA"	"CREATE USER"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"CREATE USER"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP TABLESPACE"	"NO"	"YES"	"NO"
"SYS"	"ALTER TABLESPACE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"CREATE SESSION"	"NO"	"YES"	"NO"
"EM_EXPRESS_BASIC"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DGPDB_INT"	"CREATE SESSION"	"NO"	"YES"	"NO"
"LBACSYS"	"CREATE SESSION"	"NO"	"YES"	"NO"
"SYS"	"AUDIT SYSTEM"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"AUDIT SYSTEM"	"NO"	"YES"	"NO"
"SYS"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"GSMADMIN_ROLE"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"SYS"	"DROP LOGICAL PARTITION TRACKING"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANALYTIC VIEW"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY HIERARCHY"	"NO"	"YES"	"NO"
"SYS"	"CREATE HIERARCHY"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE DYNAMIC MLE"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"CREATE CREDENTIAL"	"YES"	"YES"	"NO"
"DBA"	"ALTER LOCKDOWN PROFILE"	"NO"	"YES"	"NO"
"AUDSYS"	"SET CONTAINER"	"NO"	"YES"	"NO"
"CDB_DBA"	"SET CONTAINER"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"UPDATE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"OLAP_DBA"	"UPDATE ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DROP ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DELETE ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"DBA"	"UPDATE ANY CUBE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY CUBE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY MINING MODEL"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY MINING MODEL"	"NO"	"YES"	"NO"
"DBA"	"CREATE MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY ASSEMBLY"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY ASSEMBLY"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY EDITION"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY EDITION"	"NO"	"YES"	"NO"
"SYS"	"CREATE EXTERNAL JOB"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY CLASS"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY PROGRAM"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY JOB"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE ANY JOB"	"NO"	"YES"	"NO"
"OEM_ADVISOR"	"CREATE JOB"	"NO"	"YES"	"NO"
"XDB"	"CREATE JOB"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ADVISOR"	"NO"	"YES"	"NO"
"OEM_ADVISOR"	"ADVISOR"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY RULE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY RULE SET"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY EVALUATION CONTEXT"	"YES"	"YES"	"NO"
"DBA"	"GRANT ANY OBJECT PRIVILEGE"	"NO"	"YES"	"NO"
"SYS"	"DEBUG ANY PROCEDURE"	"NO"	"YES"	"NO"
"JAVADEBUGPRIV"	"DEBUG ANY PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"RESUMABLE"	"NO"	"YES"	"NO"
"GSMUSER_ROLE"	"EXEMPT ACCESS POLICY"	"NO"	"YES"	"NO"
"SYS"	"MERGE ANY VIEW"	"NO"	"YES"	"NO"
"DBA"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER_VPD"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY CONTEXT"	"NO"	"YES"	"NO"
"AQ_ADMINISTRATOR_ROLE"	"DEQUEUE ANY QUEUE"	"YES"	"YES"	"NO"
"SYS"	"ENQUEUE ANY QUEUE"	"YES"	"YES"	"NO"
"DBA"	"ALTER ANY DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY INDEXTYPE"	"NO"	"YES"	"NO"
"DBA"	"GLOBAL QUERY REWRITE"	"NO"	"YES"	"NO"
"SYSTEM"	"GLOBAL QUERY REWRITE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY INDEXTYPE"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE INDEXTYPE"	"NO"	"YES"	"NO"
"DBA"	"CREATE INDEXTYPE"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY OPERATOR"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"EXECUTE ANY OPERATOR"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE OPERATOR"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE TYPE"	"NO"	"YES"	"NO"
"DBA"	"CREATE TYPE"	"NO"	"YES"	"NO"
"SYSBACKUP"	"CREATE ANY DIRECTORY"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"GRANT ANY PRIVILEGE"	"NO"	"YES"	"NO"
"SYS"	"ALTER RESOURCE COST"	"NO"	"YES"	"NO"
"SYS"	"DROP PROFILE"	"NO"	"YES"	"NO"
"SYS"	"ALTER PROFILE"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY PROCEDURE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"EXECUTE ANY PROCEDURE"	"NO"	"YES"	"NO"
"DVF"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"SYS"	"FORCE ANY TRANSACTION"	"NO"	"YES"	"NO"
"SYS"	"AUDIT ANY"	"NO"	"YES"	"NO"
"SYSBACKUP"	"AUDIT ANY"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY ROLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"GRANT ANY ROLE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"DROP ANY ROLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ROLE"	"NO"	"YES"	"NO"
"DVSYS"	"CREATE ROLE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"DROP PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE DATABASE LINK"	"YES"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY VIEW"	"NO"	"YES"	"NO"
"DBA"	"CREATE VIEW"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"XDB"	"CREATE PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY SYNONYM"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER_VPD"	"DROP ANY SYNONYM"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY SYNONYM"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY CLUSTER"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE CLUSTER"	"NO"	"YES"	"NO"
"DBA"	"INSERT ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"INSERT ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"COMMENT ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"CREATE TABLE"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE TABLE"	"NO"	"YES"	"NO"
"AVTUNE_PKG_ROLE"	"CREATE TABLE"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"DBA"	"DROP USER"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"DROP USER"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ALTER USER"	"NO"	"YES"	"NO"
"DBA"	"BECOME USER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"BECOME USER"	"NO"	"YES"	"NO"
"WMSYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"OJVMSYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"ORDSYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"SYSBACKUP"	"ALTER TABLESPACE"	"NO"	"YES"	"NO"
"SYS"	"CREATE TABLESPACE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE TABLESPACE"	"NO"	"YES"	"NO"
"APPQOSSYS"	"ALTER SESSION"	"NO"	"YES"	"NO"
"WMSYS"	"ALTER SESSION"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE SESSION"	"YES"	"YES"	"NO"
"DIP"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"CREATE SESSION"	"NO"	"YES"	"NO"
"XDB"	"CREATE SESSION"	"NO"	"YES"	"NO"
"ANONYMOUS"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"CREATE SESSION"	"YES"	"YES"	"NO"
"SYSRAC"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY ANALYTIC VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"READ ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"READ ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"EXEMPT REDACTION POLICY"	"NO"	"YES"	"NO"
"EM_EXPRESS_BASIC"	"EM EXPRESS CONNECT"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"SYSUMF_ROLE"	"ADMINISTER SQL MANAGEMENT OBJECT"	"NO"	"YES"	"NO"
"SYS"	"UPDATE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"INSERT ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"OLAP_DBA"	"UPDATE ANY CUBE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"SELECT ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"COMMENT ANY MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY MINING MODEL"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY ASSEMBLY"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY EDITION"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY EDITION"	"NO"	"YES"	"NO"
"DBA"	"CHANGE NOTIFICATION"	"NO"	"YES"	"NO"
